latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
na,na,na,na,na,na,na,na,na,na,na
36.98401,-121.99097,"Santa Cruz,CA",2022-11-07 18:00:00,18,na,89.5,na,17.6,na,9
41.4014,-73.4447,"Danbury,CT",2022-11-07 21:00:00,14,na,33,na,na,10,14
33.569166666667,-112.19138888889,"Peoria,AZ",2022-11-07 19:00:00,22,12.3,25,36.2,22.4,18,18
33.21701,-117.39616,"Oceanside,CA",2022-11-07 18:00:00,21,na,90,500,20.8,6,9
na,na,na,na,na,na,na,na,na,na,na
26.053888888889,-80.256944444444,"Pembroke Pines,FL",2022-11-07 21:00:00,35,1.9,88,8.3,11,19,35
38.10251,-122.238,"Vallejo,CA",2022-11-03 20:00:00,38,5.6,72,23.6,3.2,na,38
33.83061,-117.9385,"Garden Grove,CA",2022-11-07 18:00:00,0,4.5,95,12.3,0.1,1,3
36.10638,-115.25333,"Enterprise,NV",2021-05-18 05:00:00,23,0.1,28.7,6.3,9,19,23
42.33155,-122.880266,"Medford,OR",2022-11-07 00:00:00,-,na,87,na,na,na,9
35.8652,-78.8197,"Cary,NC",2022-11-07 21:00:00,25,3.4,82,6.9,na,na,25
48.054315,-122.171529,"Marysville,WA",2022-11-07 20:00:00,50,na,97,na,na,na,50
40.72698,-73.89312,"Corona,CA",2022-11-07 21:00:00,13,na,17.3,na,na,na,13
29.171388888889,-82.094722222222,"Ocala,FL",2022-11-07 20:00:00,20,na,74,na,12.6,na,20
na,na,na,na,na,na,na,na,na,na,na
29.566111111111,-82.266111111111,"Gainesville,GA",2022-11-07 20:00:00,22,na,61,na,11.4,na,22
53.48152,-2.237881,"Manchester,NH",2022-11-08 02:00:00,27,na,85,3.1,26.7,11,25
18.41923,-66.15042,"Bayamón,PR",,-,na,71.7,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
38.8577,-77.05922,"Alexandria,VA",2022-11-07 21:00:00,21,0.1,22,1.9,15.9,11,21
na,na,na,na,na,na,na,na,na,na,na
37.256069,-93.299692,"Springfield,IL",2022-11-07 20:00:00,38,na,58,na,31.2,18,38
39.7143,-105.1239,"Lakewood,CO",2022-11-04 14:00:00,13,na,30,na,na,na,13
30.2175,-92.051389,"Lafayette,IN",2022-11-07 20:00:00,36,na,88,na,6.4,11,36
na,na,na,na,na,na,na,na,na,na,na
30.262347,-93.284906,"Lake Charles,LA",2022-11-07 20:00:00,36,na,94,4.8,15,16,36
46.4846547,30.6964293,"Odessa,TX",2020-03-06 21:00:00,90,na,99.9,na,na,54,90
na,na,na,na,na,na,na,na,na,na,na
32.6056,-83.597907,"Warner Robins,GA",2022-11-07 20:00:00,39,na,82,na,na,16,39
na,na,na,na,na,na,na,na,na,na,na
34.18198,-118.36304,"Hollywood,FL",2022-11-07 18:00:00,21,na,93,2,20.8,na,4
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
29.9229186,-93.9090282,"Port Arthur,TX",2022-11-07 17:00:00,30,na,83,na,na,na,30
na,na,na,na,na,na,na,na,na,na,na
32.805408,-83.543521,"Macon,GA",2022-03-10 13:00:00,43,na,59,na,27.2,na,43
39.10465,-94.57055,"Kansas City,KS",2022-11-07 20:00:00,28,na,32,4.9,na,20,28
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
33.12772,-117.07536,"Escondido,CA",,-,na,65,na,na,na,na
