lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"34.17599,-118.31701",34.17599,-118.31701,"Sherman,SD",8/24/2020 20:00,53,3.3,70,8.4,19.2,15,53
"41.492191,-81.678552",41.492191,-81.678552,"Cleveland,ND",11/8/2022 4:00,10,1.2,68,8.4,10.4,9,na
"46.002399,-112.500893",46.002399,-112.500893,"Butte,ND",11/8/2022 2:00,38,na,87.3,na,na,11,38
"42.3584308,-71.0597732",42.3584308,-71.0597732,"Revere,MO",11/8/2022 3:00,22,2.3,45,5.6,21.6,na,21
"39.838199,-104.94984",39.838199,-104.94984,"Thornton,WI",11/7/2022 23:00,34,6,52,14.2,0.5,34,68
"47.38614,-122.23195",47.38614,-122.23195,"Kent,MN",11/8/2022 3:00,17,na,93,na,na,na,17
"41.171398,-73.195297",41.171398,-73.195297,"Stratford,SD",11/8/2022 4:00,23,na,57,na,na,na,23
"39.02473,-77.48925",39.02473,-77.48925,"Guilford,MO",11/8/2022 3:00,16,0.1,39.3,0.7,13.9,10,16
"37.64217,-120.99421",37.64217,-120.99421,"Ralston,IA",11/8/2022 1:00,46,1.2,87,na,15.2,3,46
"39.303056,-94.376389",39.303056,-94.376389,"Liberty,NE",11/8/2022 3:00,10,na,46,na,30.4,na,10
"37.394524126147,-6.0030957063521",37.39452413,-6.003095706,"Camas,MT",11/8/2022 9:00,51,0.1,91,11.9,4.9,25,51
"35.73,-81.37",35.73,-81.37,"Hickory,OK",11/8/2022 4:00,13,na,71,na,na,na,13
"35.151588,-89.85022",35.151588,-89.85022,"Bartlett,KS",11/8/2022 3:00,44,na,86,na,16.8,na,44
"-41.595,147.122",-41.595,147.122,"Longford,KS",11/8/2022 18:00,9,na,51.1,na,na,6,9
"36.1106,-80.2267",36.1106,-80.2267,"Winston,NM",11/8/2022 4:00,23,na,51,2.2,37.6,12,23
"46.21835,-119.20152",46.21835,-119.20152,"Richland,NE",11/8/2022 3:00,16,na,98,na,na,16,6
"36.0487,-115.05294",36.0487,-115.05294,"Whitney,NE",5/18/2021 5:00,24,0.1,25.7,8.1,15.5,24,24
"40.739264,-73.817694",40.739264,-73.817694,"Briarwood,ND",11/8/2022 4:00,26,1.4,49,5.9,20.8,na,26
"40.739264,-73.817694",40.739264,-73.817694,"Rosedale,OK",11/8/2022 4:00,26,1.4,49,5.9,20.8,na,26
"47.9071,1.90109",47.9071,1.90109,"Olivet,SD",11/8/2022 8:00,20,na,73.5,12.1,19.7,14,24
"38.650259,-90.350463",38.650259,-90.350463,"Webster,IA",11/8/2022 3:00,25,na,63,na,na,na,25
"40.743156,-73.585513",40.743156,-73.585513,"Freeport,CA",11/8/2022 4:00,24,1.5,55.5,7.3,18,na,24
"40.4432593,-79.9906228999999",40.4432593,-79.9906229,"Mount Lebanon,LA",10/18/2016 16:00,-,4.5,93.8,na,0.1,23,47
"49.0578053,18.9198444",49.0578053,18.9198444,"Martin,ND",11/8/2022 9:00,68,7.1,96,8.7,na,30,68
"18.7983,110.3933",18.7983,110.3933,"Manning,ND",11/4/2022 7:00,93,5.9,82.2,5.1,31.7,36,93
"39.0242,-95.7114",39.0242,-95.7114,"Topeka,IL",11/8/2022 3:00,22,na,41,na,22.4,13,19
"39.732146,-105.015317",39.732146,-105.015317,"Englewood,KS",11/7/2022 23:00,42,7.3,75,14.7,1.3,19,42
"50.454722,-104.606667",50.454722,-104.606667,"Regina,NM",11/8/2022 3:00,13,na,85,1,12.6,na,9
"48.054315,-122.171529",48.054315,-122.171529,"Marysville,IA",11/8/2022 3:00,38,na,99,na,na,na,38
"33.411111111111,-111.93472222222",33.41111111,-111.9347222,"Butte City,ID",11/8/2022 2:00,57,na,54,na,0.8,34,57
"47.38614,-122.23195",47.38614,-122.23195,"Kent,IN",11/8/2022 3:00,17,na,93,na,na,na,17
"35.638599,-77.358002",35.638599,-77.358002,"Greenville,IA",11/8/2022 4:00,25,na,76,na,na,na,25
"35.6075,-82.5833",35.6075,-82.5833,"Morristown,SD",11/8/2022 4:00,5,na,96,na,na,na,5
